"id";"Verwaltungeinheit";"Entsorgungsgebiet";"PLZ";"zugeordneter_Kreis";"Unternehmen 1";"Unternehmen 2";"Abfallberater";"Adresse";"E-Mail";"Telefon";"Angebote";"Linktext 1";"Link 1";"Linktext 2";"Link 2";"Linktext 3";"Link 3"
1;;"Aachen";"52062, 52064, 52066, 52068, 52070, 52072, 52074, 52076, 52078, 52080";"Kreis Städteregion Aachen";"Aachener Stadtbetrieb (ASB)";;;"Madrider Ring 20, 52078 Aachen ";"aachener.stadtbetrieb@mail.aachen.de";"0241 432-18666";"Tipps zur Abfallvermeidung, Trennhilfe, Abfallpädagogik, Abfallbroschüre, Lehrmaterial, Führungen ";"Übersicht Abfallwirtschaft";"http://www.aachen.de/de/stadt_buerger/aachener_stadtbetrieb/leistungen/abfallwirtschaft/index.html";"Infos Abfalltrennung";"http://www.aachen.de/de/stadt_buerger/aachener_stadtbetrieb/leistungen/abfallwirtschaft/abfalltrennung/index.html";;
2;"Kreis Städteregion Aachen";;;;"Zweckverband Entsorgunsregion West (ZEW)";"AWA Entsorgung GmbH";"Regina Brück";"Zum Hagelkreuz 24, 52249 Eschweiler ";"abfallberatung@awa-gmbh.de ";"02403 8766353 ";"Didaktisch sehr gut aufbereitetes Infomaterial, Sortierhilfe in 14 Sprachen, Abfallwegweiser, Spielzeug-Tausch-Tag, Ausstellung „Lebensmittelverschwendung“, Abfallpädagogik, Umsonst-Laden, Online-Tauschportal";"Übersicht Abfallberatung";"http://www.awa-gmbh.de/abfallberatung/";"Online-Tauschportal";"http://tauschen-und-verschenken.de/list.asp";"Umsonst-Laden ÖMMESÖNZ";"http://www.awa-gmbh.de/abfallberatung/oemmezoenz/"
3;"Landkreis Ahrweiler";;;;"Abfallwirtschaftsbetrieb Landkreis Ahrweiler";;"Tobias Beckers, Lubos Caklos";"Wilhelmstraße 24-30, 53474 Bad Neuenahr-Ahrweiler ";"tobias.beckers@awb-ahrweiler.de,  lubos.caklos@awb-ahrweiler.de";"02641 975-444 /-222   ";"Geschirrmobil, „UmweltlernschulePlus“, Sortierhilfe-Flyer in sieben Sprachen, piktografische Sortierhilfe, Flusssäuberungsaktion, Leitfaden Eigenkompostierung, Infos didaktisch gut aufbereitet";"Kontakt Abfallberatung";"https://www.meinawb.de/page/50";"Sperrmüllbörse";"https://www.meinawb.de/boerse/sperrmuell/browse";"Sortierhinweise und Flyer";"https://www.meinawb.de/menu/53"
4;"Landkreis Aichach-Friedberg";;;;"Landratsamt Aichach-Friedberg";"Kommunale Abfallwirtschaft ";"Anita Thrä, Johanna Tremmel";"St.-Helena-Weg 2, 86551 Aichach ";"abfallberatung@lra-aic-fdb.de";"08251 86167-11 /-18   ";"Info-Broschüren/ Links: Sortierhilfen des Bayerischen LUA, piktografische Sortierhilfe, Allgemeine Infos zu Sammlung/ Gebühren";"Kontakt Abfallberatung";"https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-6-umweltschutz/kommunale-abfallwirtschaft/ansprechpartner/ma-abfallberatung";"Abfall-ABC";"http://abfallwirtschaft.lra-aic-fdb.de/index.php/abfall-abc.html";;
5;"Landkreis Alb-Donau-Kreis";;;;"Landratsamt Alb-Donau-Kreis";;"Kerstin Lang ";"Schillerstraße 30, 89077 Ulm ";"kerstin.lang@alb-donau-kreis.de";"0731 185-1525";"Flyer „Abfall-Info“, Tipps zur Abfallvermeidung (umfangreich), Sortierhilfe, Gebraucht-u. Verschenkmarkt, Leitfaden Eigenkompostierung, Links";"Kontakt Abfallberatung";"http://www.alb-donau-kreis.de/umwelt/wer_macht_was.php#5";"Abfall-Infos";"http://www.alb-donau-kreis.de/umwelt/apropos.php";;
6;"Landkreis Altenburger Land";;;;"Landkreis Altenburger Land";"Dienstleistungsbetrieb Abfallwirtschaft ";;"Jüdengasse 7, 04600 Altenburg ";"awb@awb-altenburg.de";"03447 8940-41 /-42 /-43";"Abfallpädagogik in Schulen, Tipps zur Abfallvermeidung, Gebrauchtwarenannahme Sozialläden, Trennhilfen, Gebraucht- u. Verschenkmarkt";"Übersicht Abfallberatung";"http://www.awb-altenburg.de/abfallberatung/";"Abfall-ABC";"http://www.awb-altenburg.de/abfallberatung/abfall-abc/a-wie-altmedikamente/";;
7;"Landkreis Altenkirchen (Westerwald)";;;;"Kreisverwaltung Altenkirchen";"Abfallwirtschaftsbetrieb (AWB)";;"Parkstraße 8, 57610 Altenkirchen ";"abfallberatung@awb-kreis-ak.de";"02681 81-3070 ";"Abfallpädagogik, Geschirrmobile, Kompostfibel, Umweltbroschüre, Tennhilfe, Links, Sortierhilfe in zwei Sprachen; Kork- und CD-Sammlungen";"Kontakt Abfallberatung";"http://www.awb-ak.de/mod/Der+AWB/Ansprechpartner-D.htm?id=704";"Übersicht Abfallberatung";"http://www.awb-ak.de/mod/Abfallberatung-D.htm?id=753";;
8;"Landkreis Altmarkkreis Salzwedel";;;;"Deponie GmbH Altmarkkreis Salzwedel";;"Gabriele Jacobs";"Bismarker Straße 81, 39638 Gardelegen  ";"abfallberatung@deponie-gmbh.de";"03907  720913";"Abfallpädagogik, Abfallbroschüre (Infopost), Trennhilfe, Tipps zur Abfallvermeidung";"Übersicht Abfallberatung";"http://deponie-gmbh.de/abfallberatung/";"Abfall-Lexikon";"http://abfallkalender.altmarkkreis-salzwedel.info/lexikon.php";;
9;"Landkreis Altötting";;;;"Landratsamt Altgötting";"FB Umweltschutz (Recht und Technik)";"Imelda Niederbuchner ";"Bahnhofstr. 38, 84503 Altötting ";"imelda.niederbuchner@lra-aoe.de  ";"08671 502323 ";"Flohmarktführer, Leitfaden Eigenkompostierung, Faltblätter, Abfall-Infos, Trennhilfe, Abfallpädagogik";"Übersicht Abfallwirtschaft";"https://www.lra-aoe.de/umweltschutz-recht-und-technik/abfallwirtschaft";;;;
10;"Landkreis Alzey-Worms";;;;"Kreisverwaltung Alzey-Worms ";"Abt. Abfallwirtschaftsbetrieb";"Susanne Beck, Hans Peter Kehm, Anthea Kramer";"Ernst-Ludwig-Straße 36, 55232 Alzey";"beck.susanne@alzey-worms.de, kehm.peter@alzey-worms.de, kramer.anthea@alzey-worms.de";"(06731) 408 – 2828 /-2243 /-2231/ -2182";"Allgemeine Infos";"Kontakt Abfallberatung";"https://www.kreis-alzey-worms.eu/verwaltung/buerger/dienstleistungen/840206791.php";;;;
