ort,plz,landkreis
Aach,78267,Landkreis Konstanz
Aach,54298,Landkreis Trier-Saarburg
Aachen,52062,Städteregion Aachen
Aachen,52064,Städteregion Aachen
Aachen,52066,Städteregion Aachen
Aachen,52068,Städteregion Aachen
Aachen,52070,Städteregion Aachen
Aachen,52072,Städteregion Aachen
Aachen,52074,Städteregion Aachen
Aachen,52076,Städteregion Aachen
Aachen,52078,Städteregion Aachen
Aachen,52080,Städteregion Aachen
Aalen,73430,Ostalbkreis
Aalen,73431,Ostalbkreis
Aalen,73432,Ostalbkreis
Aalen,73433,Ostalbkreis
Aalen,73434,Ostalbkreis
Aarbergen,65326,Rheingau-Taunus-Kreis
Aasbüttel,25560,Kreis Steinburg
Abenberg,91183,Landkreis Roth
Abensberg,93326,Landkreis Kelheim
Abentheuer,55767,Landkreis Birkenfeld
Absberg,91720,Landkreis Weißenburg-Gunzenhausen
Abstatt,74232,Landkreis Heilbronn
Abtsbessingen,99713,Kyffhäuserkreis
Abtsgmünd,73453,Ostalbkreis
Abtsteinach,69518,Kreis Bergstraße
Abtswind,97355,Landkreis Kitzingen
Abtweiler,55568,Landkreis Bad Kreuznach
Achberg,88147,Landkreis Ravensburg
Achern,77855,Ortenaukreis
Achim,28832,Landkreis Verden
Achslach,94250,Landkreis Regen
Achstetten,88480,Landkreis Biberach
Acht,56729,Landkreis Mayen-Koblenz
Achtelsbach,55767,Landkreis Birkenfeld
Achterwehr,24239,Kreis Rendsburg-Eckernförde
Achtrup,25917,Kreis Nordfriesland
Adelberg,73099,Landkreis Göppingen
Adelebsen,37139,Landkreis Göttingen
Adelheidsdorf,29352,Landkreis Celle
Adelmannsfelden,73486,Ostalbkreis
Adelschlag,85111,Landkreis Eichstätt
Adelsdorf,91325,Landkreis Erlangen-Höchstadt
Adelsheim,74740,Neckar-Odenwald-Kreis
Adelshofen,91587,Landkreis Ansbach
Adelshofen,82276,Landkreis Fürstenfeldbruck
Adelsried,86477,Landkreis Augsburg
Adelzhausen,86559,Landkreis Aichach-Friedberg
Adenau,53518,Landkreis Ahrweiler
Adenbach,67742,Landkreis Kusel
Adenbüttel,38528,Landkreis Gifhorn
Adendorf,21365,Landkreis Lüneburg
Adlkofen,84166,Landkreis Landshut
Admannshagen-Bargeshagen,18211,Landkreis Rostock
Adorf,08626,Vogtlandkreis
Aebtissinwisch,25572,Kreis Steinburg
Aerzen,31855,Landkreis Hameln-Pyrmont
Affalterbach,71563,Landkreis Ludwigsburg
Affing,86444,Landkreis Aichach-Friedberg
Affinghausen,27257,Landkreis Diepholz
Affler,54689,Eifelkreis Bitburg-Prüm
Agathenburg,21684,Landkreis Stade
Agethorst,25560,Kreis Steinburg
Aglasterhausen,74858,Neckar-Odenwald-Kreis
Aham,84168,Landkreis Landshut
Ahaus,48683,Kreis Borken
Ahausen,27367,Landkreis Rotenburg (Wümme)
Ahlbeck,17375,Landkreis Vorpommern-Greifswald
Ahlden,29693,Landkreis Heidekreis
Ahlefeld-Bistensee,24358,Kreis Rendsburg-Eckernförde
Ahlen,59227,Kreis Warendorf
Ahlen,59229,Kreis Warendorf
Ahlerstedt,21702,Landkreis Stade
Ahlsdorf,06313,Landkreis Mansfeld-Südharz
Ahlstädt,98553,Landkreis Hildburghausen
Ahnatal,34292,Landkreis Kassel
Ahneby,24996,Kreis Schleswig-Flensburg
Ahnsbeck,29353,Landkreis Celle
Ahnsen,31708,Landkreis Schaumburg
Aholfing,94345,Landkreis Straubing-Bogen
Aholming,94527,Landkreis Deggendorf
Ahorn,74744,Main-Tauber-Kreis
Ahorn,96482,Landkreis Coburg
Ahorntal,95491,Landkreis Bayreuth
Ahrbrück,53506,Landkreis Ahrweiler
Ahrensbök,23623,Kreis Ostholstein
Ahrensburg,22926,Kreis Stormarn
Ahrensfelde,16356,Landkreis Barnim
Ahrenshagen-Daskow,18320,Landkreis Vorpommern-Rügen
Ahrenshöft,25853,Kreis Nordfriesland
Ahrenshoop,18347,Landkreis Vorpommern-Rügen
Ahrenviöl,25885,Kreis Nordfriesland
Ahrenviölfeld,24896,Kreis Nordfriesland
Ahrenviölfeld,25885,Kreis Nordfriesland
Aichach,86551,Landkreis Aichach-Friedberg
Aicha vorm Wald,94529,Landkreis Passau
Aichelberg,73101,Landkreis Göppingen
Aichen,86479,Landkreis Günzburg
Aichhalden,78733,Landkreis Rottweil
Aichstetten,88317,Landkreis Ravensburg
Aichtal,72631,Landkreis Esslingen
Aichwald,73773,Landkreis Esslingen
Aidenbach,94501,Landkreis Passau
Aidhausen,97491,Landkreis Haßberge
Aidlingen,71134,Landkreis Böblingen
Aiglsbach,84089,Landkreis Kelheim
Ailertchen,56459,Westerwaldkreis
Aindling,86447,Landkreis Aichach-Friedberg
Ainring,83404,Landkreis Berchtesgadener Land
Aislingen,89344,Landkreis Dillingen an der Donau
Aiterhofen,94330,Landkreis Straubing-Bogen
Aitern,79677,Landkreis Lörrach
Aitrach,88319,Landkreis Ravensburg
Aitrang,87648,Landkreis Ostallgäu
Aken (Elbe),06385,Landkreis Anhalt-Bitterfeld
Aken (Elbe),06386,Landkreis Anhalt-Bitterfeld
Aland,39615,Landkreis Stendal
Albaching,83544,Landkreis Rosenheim
Albbruck,79774,Landkreis Waldshut
Albersdorf,25767,Kreis Dithmarschen
Albersdorf,07646,Saale-Holzland-Kreis
Albershausen,73095,Landkreis Göppingen
Albersweiler,76857,Landkreis Südliche Weinstraße
Albertshofen,97320,Landkreis Kitzingen
Albessen,66871,Landkreis Kusel
